Transaction ID,Payment Date,Payment Amount,Payment Method,Tax Type,Taxpayer ID,Taxpayer Industry,Province,Town/City,Income Level
5bf615fc-7a60-4fd8-9ce8-f50c6b7c6715,2022-10-12,3726.04,Bank Transfer,VAT,21c97ac7-5c07-4602-aac2-5f69576b0e77,Manufacturing,Lusaka,Mansa,High
bebb8d4e-76c8-4122-a160-3618fd81ebc7,2023-05-12,7473.25,Cash,Income Tax,841b2846-1715-4d00-b8c2-cbd265cd98a8,Construction,Central,Mansa,Low
8c16c0db-ff86-42b1-a749-0d4a20632329,2023-12-29,8268.02,Bank Transfer,VAT,93a029a9-520a-42ae-bf45-6737abdd341f,Healthcare,Southern,Mansa,Low
62d2109e-ba65-4304-a006-5dd5a59f51ae,2023-12-21,9583.75,Debit Card,VAT,1584ecc4-c9d0-49c4-8c58-e3ace02b4276,Technology,Southern,Solwezi,Low
0312be27-3c61-40db-bff1-d123c19ff5df,2023-08-23,3329.34,Cash,Property Tax,960a28e2-92ac-4a1a-925a-36bd1fd1b71f,Finance,Southern,Chipata,Medium
21337bad-aee7-4dc4-9126-d4c80dbb7207,2023-03-27,1094.29,Debit Card,Corporate Tax,dd4a924b-524b-4d62-9477-9c5e7f9b687d,Finance,Southern,Kitwe,High
8ede1c52-156a-40ab-827b-3b5c6ef904be,2023-10-17,1602.49,Bank Transfer,Sales Tax,d38d0635-49c1-4af3-b06e-5fe5a94f1c45,Construction,Central,Livingstone,Low
a56c2ceb-4606-4127-b2ca-38f52716297d,2022-12-30,3866.85,Bank Transfer,VAT,9dd1b456-721b-4af6-9dcd-3d7e5bdfdde8,Technology,Lusaka,Ndola,High
a038af28-be0f-4290-b418-9c28f8324287,2023-05-08,6408.7,Debit Card,Sales Tax,f1744f45-bd38-48f8-bc45-b5ee7f1ece04,Manufacturing,Western,Kasama,Low
8e9e625e-5e44-42f7-b6ad-2414d111a1ce,2023-12-21,4742.28,Bank Transfer,Corporate Tax,6d04be19-aa56-4ad1-81eb-3b35170bdb0d,Construction,Copperbelt,Chipata,Medium
24137d79-a5e4-4edc-a804-220df8f1241b,2023-12-14,2915.07,Cash,Sales Tax,3ceb2786-42a9-4a09-95c9-12efaecbd204,Technology,North-Western,Ndola,High
bbc8e612-8d18-4fbc-9938-21aed3b81eb6,2024-03-17,7396.69,Bank Transfer,Income Tax,73554c84-7887-4080-99bd-07e24a54ab67,Retail,Western,Livingstone,High
1492a601-f086-4f42-a62a-036ab74a9770,2023-08-03,9981.84,Bank Transfer,VAT,64431d5e-eb47-445b-9dc4-f4c998e70693,Finance,Lusaka,Chipata,Low
78d1749a-ffe0-4d50-9420-a9c0b23372b1,2024-03-10,2238.9,Bank Transfer,Income Tax,1f8fae3e-ae53-4fd3-a26a-8146905a0ead,Construction,Northern,Solwezi,High
2b0a0f94-3902-469d-a6d2-357f2f3fa5b3,2023-11-19,5945.28,Debit Card,VAT,1dc38b73-e25c-482a-b2ad-515d6dd8a9d3,Retail,Copperbelt,Chipata,High
56a52ff5-539b-493a-8f30-95f1ccfb5260,2023-10-18,1562.17,Mobile Money,Corporate Tax,ad0773e3-574b-4206-89b0-83fba0edf812,Retail,Copperbelt,Kitwe,High
e574a0d2-1366-4d70-809b-4cb1eecc75f2,2024-04-16,5184.79,Mobile Money,Income Tax,04f1a9da-a402-4e6f-a904-9acafcf9e3f0,Manufacturing,Eastern,Solwezi,High
12ef3726-de5c-425c-9a5a-90a4e80a73cf,2024-05-06,4628.11,Bank Transfer,Income Tax,fe674f4c-ddc3-4b5b-abb3-23e32b51768d,Construction,Lusaka,Kitwe,High
76b2d939-88e0-4fbb-9b1c-9151ec4b8314,2023-12-27,2024.57,Debit Card,Property Tax,5fc98e46-e2a9-4bca-9324-d9ad749bb5c6,Construction,Southern,Mansa,Low
3c669f3b-c99e-4854-b778-dcc92c91588a,2023-09-26,7428.66,Mobile Money,VAT,817b56c7-3a7d-41ed-bfb1-826436c4908a,Manufacturing,Lusaka,Ndola,Medium
ba547817-1349-4c94-9247-c19db7368bae,2023-01-30,1625.3,Mobile Money,VAT,dd32ca73-a3c3-4e08-917d-c73635419c65,Retail,Lusaka,Kasama,High
a28313f1-fddf-409c-b06a-d84263688b85,2024-06-26,2937.17,Cash,Sales Tax,494bc726-7674-4649-a6f6-7ce7b2fafff8,Finance,North-Western,Lusaka,Low
bcdcc5a0-0e41-417d-8d5e-ad4f32b2872f,2024-07-03,9668.42,Cash,Property Tax,defb12b1-0f0d-4eef-bd67-39696478e6dd,Construction,Copperbelt,Lusaka,Low
53bfadc2-29c4-45e3-80c5-026d95c77c52,2023-08-31,5529.82,Bank Transfer,Property Tax,b469603c-9637-4fa8-9b45-226821df4d7c,Manufacturing,North-Western,Chipata,High
2610e6aa-9ccc-47e2-bdc4-2baaad07187d,2023-01-06,2885.54,Cash,Corporate Tax,9c41464d-ceb6-450d-a2cd-7bc600f765a3,Finance,Lusaka,Ndola,High
8bff282d-e65c-4634-856f-28caa250aace,2023-10-07,1380.82,Mobile Money,Corporate Tax,787c1506-0adc-443e-a30a-63d250d197de,Healthcare,Central,Chipata,High
73fecd8b-9885-4967-a1ae-4db1da123c55,2023-05-11,4934.11,Debit Card,Property Tax,422e6a2e-89eb-4f36-b8eb-82051ef4edb8,Healthcare,Western,Kasama,High
29195ece-ee14-4ac0-b48b-5386a6512464,2023-07-08,6724.73,Bank Transfer,VAT,dacb1edd-8a90-4b33-9b55-72a251c2a275,Healthcare,Northern,Solwezi,Low
8d5f0155-d1e1-460b-b8fe-8d797b107572,2023-03-11,5459.17,Debit Card,VAT,c6225e24-6237-4216-9400-7d7db8b60691,Technology,Central,Kasama,High
a4fe096e-212a-4fb1-8f0a-693153a048c6,2023-04-28,1398.23,Mobile Money,VAT,15e103a1-49df-4e1f-b23f-40f0bb63abcd,Finance,Northern,Livingstone,Medium
21615d89-d2a2-4322-aa79-e6c707a11943,2023-10-30,5618.8,Mobile Money,Sales Tax,2d34c073-a520-4636-a6a3-973999b1f111,Finance,Southern,Livingstone,Medium
4620159f-94cc-44fb-b2cb-b62b7fc0108a,2023-10-24,8010.57,Mobile Money,Property Tax,21973103-d3a7-4e3b-9b55-e9e16fe6579b,Technology,Northern,Kitwe,Medium
825c11f3-57c7-44f8-9f38-baa59df5c1da,2023-04-15,2031.74,Mobile Money,Income Tax,6b9e93e3-1be7-484c-a6f6-5174dbae9dc7,Healthcare,Central,Kitwe,Low
374b2698-3a82-4e76-9aff-d8f625ff41d9,2023-08-08,1937.63,Mobile Money,Income Tax,b0665e8e-760e-4f8b-9d5a-80a2f1037214,Finance,Central,Kasama,High
4b3c9c3f-bf18-4ccb-9b05-c8aed5eaa208,2024-06-05,3200.02,Mobile Money,Sales Tax,707c9691-bc99-4f0f-bdb5-3379c9c0b482,Manufacturing,Copperbelt,Kitwe,Low
